epoch,train_mse,val_mse,mean_active
1,0.03436031402647495,0.026056828596154036,4.12
2,0.016809687063097954,0.012864316945173303,5.99
3,0.011946390688419342,0.011500896410066254,6.67
4,0.011256475660949946,0.010886391158006629,6.67
5,0.010489462047815323,0.010548040769538101,6.725
6,0.01011684037744999,0.010474972603272419,6.75
7,0.009954526972025634,0.010096040574871764,6.765
8,0.009733971789479256,0.009939606433012048,6.745
9,0.009514676030725241,0.009843023261245415,6.755
10,0.009520355563610793,0.009782405483479403,6.765
11,0.009350576743483543,0.009733750333591383,6.74
12,0.009278365187346935,0.009593662899367663,6.785
